scores,action,normalized_score,risk_level
0.85,REJECT,1.0,高风险
0.72,REJECT,0.7833333333333333,高风险
0.68,REJECT,0.7166666666666668,高风险
0.65,CHALLENGE,0.6666666666666667,中等风险
0.58,CHALLENGE,0.5499999999999999,中等风险
0.52,CHALLENGE,0.45000000000000007,中等风险
0.48,CHALLENGE,0.3833333333333333,中等风险
0.45,ALLOW,0.33333333333333337,低风险
0.38,ALLOW,0.21666666666666667,低风险
0.32,ALLOW,0.11666666666666668,低风险
0.25,ALLOW,0.0,低风险
0.78,REJECT,0.8833333333333334,高风险
0.71,REJECT,0.7666666666666666,高风险
0.63,CHALLENGE,0.6333333333333334,中等风险
0.55,CHALLENGE,0.5000000000000001,中等风险
0.42,ALLOW,0.2833333333333333,低风险
0.35,ALLOW,0.16666666666666663,低风险
0.28,ALLOW,0.050000000000000044,低风险
0.82,REJECT,0.95,高风险
0.76,REJECT,0.8500000000000001,高风险
0.67,CHALLENGE,0.7000000000000001,中等风险
0.59,CHALLENGE,0.5666666666666667,中等风险
0.51,CHALLENGE,0.43333333333333335,中等风险
0.44,ALLOW,0.3166666666666667,低风险
0.36,ALLOW,0.18333333333333332,低风险
0.29,ALLOW,0.06666666666666664,低风险
